Id,Name,Period,Wikipedia URL
ld1-1643399756728-1643399824901-0,Frida Kahlo,6 Jul 1907 - 13 Jul 1954,https://en.wikipedia.org/wiki/Frida_Kahlo
ld1-1643399756728-1643399825211-0,Alice Dunbar-Nelson,,https://en.wikipedia.org/wiki/Alice_Dunbar-Nelson
ld1-1643399756728-1643399825725-0,Betsey Colt Foot,1774 - 1847,-
ld1-1643399756728-1643399826268-1,Julius A. Fleischmann,1871 - 1925,https://en.wikipedia.org/wiki/Julius_Fleischmann
ld1-1643399756728-1643399826528-1,Harriet Bradford Tiffany Stewart,1798 - 1830,https://en.wikipedia.org/wiki/Harriet_Bradford_Tiffany_Stewart
ld1-1643399756728-1643399826885-0,Alexander von Humboldt,14 Sep 1769 - 6 May 1859,https://en.wikipedia.org/wiki/Alexander_von_Humboldt
ld1-1643399756728-1643399827571-0,Lewis Malone Ayer Jr.,1821 - 1895,https://en.wikipedia.org/wiki/Lewis_Malone_Ayer_Jr.
ld1-1643399756728-1643399828105-0,Franklin Delano Roosevelt,30 Jan 1882 - 12 Apr 1945,https://en.wikipedia.org/wiki/Franklin_Delano_Roosevelt
ld1-1650617461130-1650617536621-0,George Edmund Haynes,1880 - 1960,https://en.wikipedia.org/wiki/George_Edmund_Haynes
ld1-1652182634763-1652182706634-1,Abraham Lincoln,12 Feb 1809 - 15 Apr 1865,https://en.wikipedia.org/wiki/Abraham_Lincoln
ld1-1652182634763-1652182718663-1,George Gibbs,1776 - 1833,https://en.wikipedia.org/wiki/George_Gibbs_(mineralogist)
ld1-1693385069958-1693385119480-1,Thomas Jonathan Jackson,21 Jan 1824 - 10 May 1863,https://en.wikipedia.org/wiki/Thomas_Jonathan_Jackson
ld1-1706868062610-1706868075243-0,Andrew Jackson,15 Mar 1767 - 8 Jun 1845,https://en.wikipedia.org/wiki/Andrew_Jackson
ld1-1715938889731-1715938944581-1,Alfred Jones,1819 - 1900,https://en.wikipedia.org/wiki/Alfred_Jones_(engraver)
